group,entity1_parent,entity2_child,relationship_name,code,label,child_cols,parent_cols,is_composite,parent_card,child_card,on_delete,verb1,verb2,name_class,human_confirmed,constraint_name
A,users,api_keys,User creates API Key,USER_CREATES_API_KEY,,created_by,id,N,0..1,0..N,SET NULL,creates,is created by,A,Y,api_keys_created_by_fkey
A,users,api_keys,User revokes API Key,USER_REVOKES_API_KEY,,revoked_by,id,N,0..1,0..N,SET NULL,revokes,is revoked by,A,Y,api_keys_revoked_by_fkey
A,tenants,api_keys,Tenant scopes API Key,TENANT_SCOPES_API_KEY,scope,tenant_id,tenant_id,N,1,0..N,RESTRICT,,,B,Y,fk_api_keys_tenant
E,users,audit_log,User is recorded as Actor in Audit Log,USER_IS_RECORDED_AS_ACTOR_IN_AUDIT_LOG,audit actor,actor_user_id,id,N,0..1,0..N,SET NULL,,,B,Y,audit_log_actor_user_id_fkey
E,tenants,audit_log,Tenant scopes Audit Log Entry,TENANT_SCOPES_AUDIT_LOG_ENTRY,optional scope,tenant_id,tenant_id,N,0..1,0..N,RESTRICT,,,B,Y,fk_audit_log_tenant
D,users,capture_sessions,User operates Capture Session,USER_OPERATES_CAPTURE_SESSION,,auth_user_id,id,N,0..1,0..N,SET NULL,,,B,Y,capture_sessions_auth_user_id_fkey
D,classes,capture_sessions,Class is captured in Capture Session,CLASS_IS_CAPTURED_IN_CAPTURE_SESSION,,tenant_id+class_uid,tenant_id+class_uid,Y,1,0..N,NO ACTION,,,C,Y,fk_capture_sessions_class
D,collection_sessions,capture_sessions,Collection Session contains Capture Session,COLLECTION_SESSION_CONTAINS_CAPTURE_SESSION,,tenant_id+collection_session_id,tenant_id+collection_session_id,Y,0..1,0..N,SET NULL,,,C,Y,fk_capture_sessions_collection
D,signers,capture_sessions,Capture Session references summarized Signer,CAPTURE_SESSION_REFERENCES_SUMMARIZED_SIGNER,,tenant_id+signer_id,tenant_id+signer_id,Y,0..1,0..N,NO ACTION,,,C,Y,fk_capture_sessions_signer
D,tenants,capture_sessions,Tenant owns Capture Session,TENANT_OWNS_CAPTURE_SESSION,,tenant_id,tenant_id,N,1,0..N,RESTRICT,,,B,Y,fk_capture_sessions_tenant
C,dialects,classes,Dialect varies Class,DIALECT_VARIES_CLASS,,tenant_id+dialect,tenant_id+dialect_id,Y,0..1,0..N,NO ACTION,,,C,Y,classes_dialect_fkey
C,regions,classes,Region localizes Class,REGION_LOCALIZES_CLASS,,region,code,N,1,0..N,NO ACTION,,,B,Y,classes_region_fkey
C,languages,classes,Language categorizes Class,LANGUAGE_CATEGORIZES_CLASS,,language,code,N,0..1,0..N,NO ACTION,,,B,Y,fk_classes_language
C,recognition_profiles,classes,Recognition Profile profiles Class,RECOGNITION_PROFILE_PROFILES_CLASS,,tenant_id+recognition_profile,tenant_id+profile_id,Y,0..1,0..N,NO ACTION,,,C,Y,fk_classes_recognition_profile
C,tenants,classes,Tenant owns Class,TENANT_OWNS_CLASS,,tenant_id,tenant_id,N,1,0..N,RESTRICT,,,B,Y,fk_classes_tenant
C,vocabulary_groups,classes,Vocabulary Group groups Class,VOCABULARY_GROUP_GROUPS_CLASS,,tenant_id+vocabulary_group,tenant_id+group_id,Y,0..1,0..N,NO ACTION,,,C,Y,fk_classes_vocabulary_group
D,users,collection_sessions,User opens Collection Session,USER_OPENS_COLLECTION_SESSION,,opened_by_user_id,id,N,0..1,0..N,SET NULL,opens,is opened by,A,Y,collection_sessions_opened_by_user_id_fkey
D,tenants,collection_sessions,Tenant owns Collection Session,TENANT_OWNS_COLLECTION_SESSION,,tenant_id,tenant_id,N,1,0..N,RESTRICT,,,B,Y,fk_collection_sessions_tenant
C,users,community_dialects,User updates Community Dialect,USER_UPDATES_COMMUNITY_DIALECT,,updated_by,id,N,0..1,0..N,SET NULL,updates,is updated by,A,Y,community_dialects_updated_by_fkey
C,users,community_profiles,User updates Community Profile,USER_UPDATES_COMMUNITY_PROFILE,,updated_by,id,N,0..1,0..N,SET NULL,updates,is updated by,A,Y,community_profiles_updated_by_fkey
C,users,community_versions,User creates Community Version,USER_CREATES_COMMUNITY_VERSION,,created_by,id,N,0..1,0..N,SET NULL,creates,is created by,A,Y,community_versions_created_by_fkey
C,users,dialect_aliases,User merges Dialect Alias,USER_MERGES_DIALECT_ALIAS,,merged_by,id,N,0..1,0..N,SET NULL,merges,is merged by,A,Y,dialect_aliases_merged_by_fkey
C,dialects,dialect_aliases,Dialect is target of Dialect Alias,DIALECT_IS_TARGET_OF_DIALECT_ALIAS,,tenant_id+new_dialect_id,tenant_id+dialect_id,Y,1,0..N,NO ACTION,,,C,Y,fk_dialect_aliases_new
C,tenants,dialect_aliases,Tenant scopes Dialect Alias,TENANT_SCOPES_DIALECT_ALIAS,,tenant_id,tenant_id,N,1,0..N,RESTRICT,,,B,Y,fk_dialect_aliases_tenant
C,users,dialects,User approves Dialect,USER_APPROVES_DIALECT,,approved_by,id,N,0..1,0..N,SET NULL,approves,is approved by,A,Y,dialects_approved_by_fkey
C,users,dialects,User creates Dialect,USER_CREATES_DIALECT,,created_by,id,N,0..1,0..N,SET NULL,creates,is created by,A,Y,dialects_created_by_fkey
C,languages,dialects,Language includes Dialect,LANGUAGE_INCLUDES_DIALECT,,language,code,N,1,0..N,NO ACTION,,,B,Y,fk_dialects_language
C,dialects,dialects,Dialect is merge target of Dialect,DIALECT_IS_MERGE_TARGET_OF_DIALECT,,tenant_id+merged_into,tenant_id+dialect_id,Y,0..1,0..N,NO ACTION,,,C,Y,fk_dialects_merged_into
C,tenants,dialects,Tenant scopes Dialect,TENANT_SCOPES_DIALECT,,tenant_id,tenant_id,N,1,0..N,RESTRICT,,,B,Y,fk_dialects_tenant
H,tenants,event_outbox,Tenant scopes Outbox Event,TENANT_SCOPES_OUTBOX_EVENT,optional scope,tenant_id,tenant_id,N,0..1,0..N,RESTRICT,,,B,Y,fk_event_outbox_tenant
E,users,legal_document_drafts,User creates Legal Document Draft,USER_CREATES_LEGAL_DOCUMENT_DRAFT,,created_by,id,N,0..1,0..N,SET NULL,creates,is created by,A,Y,legal_document_drafts_created_by_fkey
