tbl,pk,n_cols,fk_ra,fk_vao,rls,co_tenant_id
api_keys,key_id,12,3,0,t,t
audit_log,audit_id,10,2,0,t,t
capture_sessions,capture_session_id,12,5,2,t,t
classes,class_uid,23,6,5,t,t
collection_sessions,collection_session_id,9,2,1,t,t
community_dialects,dialect_id,9,1,0,f,f
community_profiles,profile_id,8,1,0,f,f
community_versions,version,6,1,1,f,f
dialect_aliases,tenant_id+old_dialect_id,5,3,0,t,t
dialects,tenant_id+dialect_id,14,5,5,t,t
event_outbox,event_id,11,1,0,t,t
google_sheets_sync_status,id,7,0,0,f,f
languages,code,2,0,4,f,f
legal_document_drafts,draft_id,21,2,0,f,f
legal_document_events,event_id,12,0,0,f,f
legal_documents,doc_id,21,1,2,f,f
memberships,membership_id,14,6,2,t,t
notifications,notification_id,10,2,0,t,t
password_reset_tokens,token_hash,5,1,0,f,f
permissions,permission_code,9,0,1,f,f
plans,plan_code,25,0,2,f,f
platform_settings,key,4,1,0,f,f
project_allocations,tenant_id+project_id+metric,7,4,0,t,t
projects,project_id,10,2,2,t,t
raw_uploads,upload_uid,21,5,0,t,t
recognition_profiles,tenant_id+profile_id,7,1,1,t,t
refresh_tokens,token_hash,8,1,0,f,f
regions,code,8,0,1,f,f
registry_versions,tenant_id+version,7,2,2,t,t
role_assignments,assignment_id,9,5,0,f,f
role_permissions,role_id+permission_code,3,2,0,f,f
roles,role_id,12,2,3,t,t
samples,sample_uid,46,10,0,t,t
schema_migrations,version+applied_at,6,0,0,f,f
signer_aliases,tenant_id+old_signer_id,6,3,0,t,t
signer_consents,consent_id,11,4,0,t,t
signers,signer_id,9,2,4,t,t
sot_authorized_keys,public_key,7,0,0,f,f
storage_reservations,reservation_id,5,1,0,t,t
support_messages,message_id,9,3,0,t,t
support_tickets,ticket_id,10,2,1,t,t
tenant_exports,export_id,13,2,0,t,t
tenant_invitations,invitation_id,11,3,0,t,t
tenant_purges,purge_id,10,0,0,f,t
tenant_storage,tenant_id,4,1,0,t,t
tenant_subscriptions,subscription_id,15,3,0,t,t
tenant_usage_daily,tenant_id+usage_date+metric,5,1,0,t,t
tenants,tenant_id,20,3,39,t,t
training_job_classes,job_id+class_idx,5,3,0,t,t
training_jobs,job_id,19,3,3,t,t
training_metrics,job_id+epoch,9,3,0,t,t
user_action_passcodes,user_id,8,1,0,f,f
user_consents,consent_id,11,3,0,f,f
user_recovery_codes,code_hash,4,1,0,f,f
user_totp,user_id,5,1,0,f,f
users,id,16,2,46,t,t
verification_codes,challenge_id,11,1,0,f,f
vocabulary_groups,tenant_id+group_id,6,1,1,t,t
vocabulary_registry_meta,tenant_id,3,2,0,t,t
webhook_deliveries,delivery_id,12,2,0,t,t
webhook_endpoints,endpoint_id,14,2,1,t,t
workspaces,workspace_id,9,1,2,t,t
