table_name,column_name,description,semantic_status,note
collection_sessions,collection_session_id,Định danh buổi thu.,VERIFIED,
collection_sessions,tenant_id,Tổ chức sở hữu bản ghi; là phạm vi áp dụng cách ly tenant.,VERIFIED,
collection_sessions,session_code,"Mã buổi thu do client sinh, duy nhất trong phạm vi một tổ chức.",VERIFIED,"UNIQUE (tenant_id, session_code). CHECK collection_sessions_code_not_blank cấm chuỗi rỗng"
collection_sessions,opened_by_user_id,Tài khoản đã mở buổi thu.,VERIFIED,"Là người VẬN HÀNH, không phải người ký"
collection_sessions,source_type,Kênh thu: camera trực tiếp hay tải video lên.,VERIFIED,
collection_sessions,started_at,Thời điểm buổi thu bắt đầu.,VERIFIED,
collection_sessions,ended_at,Thời điểm buổi thu kết thúc; NULL khi chưa đóng.,VERIFIED,CHECK collection_sessions_ends_after_start là BẤT BIẾN NHIỀU CỘT có điều kiện: (ended_at IS NULL) OR (started_at IS NULL) OR (ended_at >= started_at) — buổi thu chưa đóng hoặc chưa rõ giờ mở vẫn hợp lệ
collection_sessions,note,Ghi chú tự do của người vận hành.,NEEDS_REVIEW,Không đường mã nào đọc cột này; ai ghi và ghi gì vào đó chưa xác nhận.
collection_sessions,created_at,Thời điểm tạo bản ghi.,VERIFIED,
capture_sessions,capture_session_id,Định danh phiên thu một lớp ký hiệu.,VERIFIED,
capture_sessions,tenant_id,Tổ chức sở hữu bản ghi.,VERIFIED,
capture_sessions,class_uid,Lớp ký hiệu được thu trong phiên này.,VERIFIED,
capture_sessions,session_id,"Mã phiên do client gửi; duy nhất theo (tổ chức, lớp), KHÔNG duy nhất một mình.",VERIFIED,"Đo: 61 giá trị khác nhau, một mã trải nhiều lớp. CHECK capture_sessions_session_id_not_blank cấm chuỗi rỗng"
capture_sessions,signer_id,"Người ký TÓM TẮT của phiên, giữ lại từ thiết kế cũ.",LEGACY,"Dữ liệu bác bỏ giả định một phiên một người: 10/253 phiên mang từ 2 nhãn người ký trở lên. KHÔNG dùng làm chân lý. Khoá ngoại ghép tenant-aware VẪN còn hiệu lực — LEGACY ở đây nghĩa là cột không còn là nguồn danh tính chuẩn, KHÔNG có nghĩa là nó mất toàn vẹn tham chiếu"
capture_sessions,auth_user_id,Tài khoản đã thực hiện phiên thu.,VERIFIED,Khác danh tính người ký
capture_sessions,source_type,Kênh thu của phiên.,VERIFIED,
capture_sessions,started_at,Thời điểm phiên bắt đầu.,VERIFIED,
capture_sessions,ended_at,Thời điểm phiên kết thúc.,VERIFIED,CHECK capture_sessions_ends_after_start là BẤT BIẾN NHIỀU CỘT có điều kiện: (ended_at IS NULL) OR (started_at IS NULL) OR (ended_at >= started_at)
capture_sessions,note,Ghi chú tự do.,NEEDS_REVIEW,Không đường mã nào đọc cột này; ai ghi và ghi gì vào đó chưa xác nhận.
capture_sessions,created_at,Thời điểm tạo bản ghi.,VERIFIED,
capture_sessions,collection_session_id,Buổi thu chứa phiên này; NULL với dữ liệu có trước khi có phân cấp.,VERIFIED,ON DELETE SET NULL
signers,signer_id,Định danh chuẩn hoá của người ký; là KHOÁ CHÍNH toàn bảng.,VERIFIED,"Cặp (tenant_id, signer_id) có chỉ mục duy nhất riêng (uq_signers_tenant_signer_id) để làm ĐÍCH cho các khoá ngoại tenant-aware từ samples và capture_sessions"
signers,display_name,Tên hiển thị của người ký.,VERIFIED,
signers,regional_group,Nhóm vùng miền của người ký.,NEEDS_REVIEW,Quan hệ với bảng regions cần xác nhận
signers,external_user_id,"Tài khoản hệ thống tương ứng, nếu người ký cũng là người dùng.",VERIFIED,NULL khi người ký không có tài khoản
signers,is_active,Người ký còn tham gia thu hay không.,VERIFIED,
signers,created_at,Thời điểm đăng ký người ký.,VERIFIED,
signers,tenant_id,Tổ chức quản lý hồ sơ người ký.,VERIFIED,
signers,note,Ghi chú tự do.,NEEDS_REVIEW,Không đường mã nào đọc cột này; ai ghi và ghi gì vào đó chưa xác nhận.
signers,display_order,Thứ tự hiển thị do người vận hành sắp.,VERIFIED,
signer_aliases,tenant_id,Tổ chức sở hữu bản ghi gộp.,VERIFIED,
signer_aliases,old_signer_id,Định danh người ký đã bị gộp đi.,VERIFIED,CHECK signer_aliases_not_self (old_signer_id <> new_signer_id) cấm tự gộp vào chính mình
signer_aliases,new_signer_id,Định danh người ký còn lại sau khi gộp.,VERIFIED,
signer_aliases,reason,Lý do gộp.,VERIFIED,
signer_aliases,merged_at,Thời điểm gộp.,VERIFIED,
signer_aliases,merged_by,Người thực hiện gộp.,VERIFIED,
samples,sample_uid,Định danh mẫu.,VERIFIED,CHECK samples_uid_is_hex10 buộc ĐÚNG 10 ký tự hex THƯỜNG: `^[0-9a-f]{10}$`
samples,class_uid,Lớp ký hiệu mà mẫu này mang nhãn.,VERIFIED,
